Word,Definition
κυκλόω,"encircle, surround"
κυκλοτερής,made round by turning
κυκλωτός,rounded
κυκνόμορφος,swan-shaped
κυλίκιον,small cup
κυλίνδω,roll
κυλίω,roll along
κυλλός,club-footed and bandy-legged
κυλοιδιάω,"have a swelling below the eye, have a black eye"
κυμάς,pregnant woman
κυμαίνω,"rise in waves, swell"
κυματίας,"surging, billowy"
κυματόω,cover with waves
κυνάγχη,dog-quinsy
κυνάγχης,dog-throttler
κυνάς,of a dog
κυνάω,play the Cynic
κυναγός,hound-leader
κυναλώπηξ,mongrel between dog and fox
κυνέη,dog's skin
κυνέω,kiss
κυνήγιον,"hunt, chase"
κυνηδόν,like a dog
κυνηγέσιον,"hunting-establishment, pack of hounds"
κυνηγέτης,huntsman
κυνηγέω,"hunt, chase"
κυνηγεσία,venatio
κυνηγετέω,hunt
κυνηγετικός,of
κυνηγία,"hunt, chase"
κυνίδιον,"little dog, puppy"
κυνίσκη,bitch-puppy
κυνικός,dog-like
κυνόδους,canine tooth
κυνόφρων,"dog-minded, shameless of soul"
κυνοκέφαλος,dog-headed
κυνοκλόπος,dog-stealer
κυνοκοπέω,beat like a dog
κυνοτρόφος,keeping dogs
κυνώ,bitch
κυοφορέω,"to be with young, be pregnant"
κυπάρισσος,"cypress, Cupressus sempervirens"
κυπρῖνος,carp
κυπτάζω,"keep stooping, go poking about, potter about"
κυρβασία,Persian bonnet
κυρέω,"hit, light upon"
κυρήβια,"husks, bran"
κυρηβάζω,butt with the horns
κυρία,"authority, power"
κυρίσσω,butt with the horns
κυρίως,like a lord
κυριεύω,to be lord
κυρκανάω,mix
κυρόω,"confirm, ratify"
κυρσάνιος,whippersnapper
κυρτεία,fishing with the
κυρτίς,"weel, lobster-pot"
κυρτός,"curved, arched"
κυρτός,"bulging, swelling"
κυρτόω,"hump up, make convex"
κυρτών,hunchback
κυψέλη,"any hollow vessel: chest, box"
κυψελίς,wax in the ears
κώδων,bell
κώκυμα,"shriek, wail"
κώλυμα,hindrance
κώλυσις,prevention
κώμη,unwalled village
κώμυς,"bundle, truss"
κώνειον,"hemlock, Conium maculatum"
κώνωψ,"gnat, mosquito"
κώπη,handle
κώθων,Laconian drinking-vessel
κώριον,a little girl
κώρυκος,leathern sack
κῴδιον,"sheepskin, fleece"
κῶας,fleece
κῶλον,"limb, member"
κῶμα,deep sleep
κῶμος,"revel, carousal, merry-making"
κῶνος,pine-cone
κωβιός,gudgeon
κωδωνίζω,"try, prove by ringing"
κωδωνοφαλαρόπωλος,with jingling harness
κωδωνοφορέω,"carry the bell round, inspect sentinels"
κωφάω,"make dumb, silence"
κωφός,"blunt, dull, obtuse"
κωκύω,"shriek, wail"
κωλαγρέτης,collector of the pieces at a sacrifice
κωλακρετέω,to be a
κωλῆ,"thighbone with the flesh on it, ham"
κωλύμη,hindering
κωλύω,"hinder, prevent"
κωλυτής,hinderer
κωλυτός,to be hindered
κωμάζω,"revel, make merry"
κωμαστής,reveller
κωμαστικός,of
κωματώδης,lethargic
κωμήτης,"villager, countryman"
κωμικός,of
κωμῳδέω,treat after the manner of
κωμῳδητέον,one must ridicule
κωμῳδία,comedy
κωμῳδικός,"of comedy, comic"
κωμῳδός,singer in the
κωμῳδοδιδάσκαλος,comic poet
κωμῳδοδιδασκαλία,"rehearsing a comedy, training the chorus"
κωνάω,spin a top
κωπέω,furnish with oars
κωπεύς,"pieces of wood fit for making oars, spars"
κωπήεις,hilted
κωπήρης,furnished with oars
κωπίον,false ribs
λάβδα,the letter
λάβραξ,Labrax lupus
λάβρος,"furious, boisterous"
λάξ,with the foot
λάφυρα,spoils
λάγινος,of the hare
λάγνος,"lecherous, lustful"
λάινος,of stone
λάκκος,pond
λάκτισμα,a kick
λάλος,"talkative, babbling, loquacious"
λάμπη,torch
λάμπω,"give light, shine"
λάπαθον,"monk's rhubarb, Rumex Patientia"
λάπτω,Epic. Alex.Adesp.
λάθος,escape from detection
λάθρῃ,"secretly, by stealth"
λάθριος,secretly
λάρινος,sea-fish
λάρκος,charcoal-basket
λάρναξ,"coffer, box, chest"
λάρος,"sea-mew, gull"
λάρυγξ,larynx
λάσανα,trivet
λάσιον,a rough cloth
λάσιος,"shaggy, woolly"
λάσκω,"ring, rattle, crash"
λάτος,"the great Nile perch, Perca (Lates) niloticus"
λάτρον,"pay, hire"
λάω,"to behold, look upon"
λάω,"seize, hold"
λάχανον,garden-herbs
λάχη,ashare
λάχνη,"soft woolly hair, down"
λάχος,allotted portion
λάζομαι,"seize, grasp"
λᾶας,stone
λᾶιγξ,"a small stone, pebble"
λαβή,"the part intended for grasping, a handle, haft"
λαβίς,handle
λαβρόομαι,rush violently
λαβρόσυτος,rushing furiously
λαβροστομέω,"talk boldly, rashly"
λαβύρινθος,labyrinth
λαφύσσω,"swallow greedily, gulp down"
λαφυγμός,gluttony
λαφυραγωγέω,carry off as booty
λαγαρός,"hollow, sunken"
λαγιδεύς,leveret
λαγνεία,the act of coition
λαγνεύω,have sexualintercourse
λαγοδαίτης,hare-devourer
λαγοθηρέω,hunt hares
λαγών,"the hollow on each side below the ribs, flank"
λαγῴδιον,leveret
λαγῶς,a hare
λαγῷος,of the hare
λαγωός,hare.
λαγχάνω,obtain by lot
λαίθαργος,biting secretly
λαῖφος,"shabby, tattered garment"
λαῖλαψ,"furious storm, hurricane"
λαῖνα,laena
λαῖτμα,depth
λαιαί,stones
λαικάζω,wench
λαικαστής,wencher
λαιμαργία,gluttony
λαιμός,"throat, gullet"
λαιμός,impudently
λαιμότμητος,with the throat severed
λαιμοτομέω,cut the throat of
λαιός,"blue thrush, Petrocichla cyanus"
λαιός,left
λαιψηρός,"light, nimble, swift"
λακάω,burst asunder
λακάζω,"shout, howl"
λακαταπύγων,very lascivious
λακέρυζα,one that screams
λακέτας,chirper
λακίς,"rent, rending"
λακίζω,tear
λακκόπρωκτος,loose-breeched
λακκόω,"hollow out,"
λακτίζω,kick with the heel
λαλέω,"talk, chat, prattle"
λαλητικός,given to babbling
λαλιά,"talk, chat"
λαμβάνω,a
λαμπάδιον,small torch
λαμπάδιος,torch-bearing
λαμπάς,torch
λαμπάς,torch-lit
λαμπαδηφόρος,torch-bearer
λαμπαδηφορέω,"carry the torch, run in the torch-race"
λαμπέτης,the lustrous one
λαμπετάω,shine
λαμπηδών,lustre
λαμπρός,"bright, radiant"
λαμπρότης,"brilliancy, splendour"
λαμπρύνω,make bright
λαμπτήρ,stand
λαμπτηρουχία,holding of torches
λαμυρός,full of abysses
λανθάνω,escape notice
λαός,men
λαοδάμας,subduer of peoples
λαοφόρος,bearing people
λαπάρα,the soft part of the body
λαπάσσω,empty
λαπαρός,"slack, loose"
λαθιφροσύνη,forgetfulness
λαθραῖος,"secret, covert, clandestine, furtive"
λαρινός,"fatted, fat"
λαρός,"pleasant to the taste, dainty, sweet"
λαρός,"pleasant to the taste, dainty, sweet"
λαρυγγίζω,shout lustily
λασιαύχην,"with rough, shaggy neck"
λασιών,thicket
λατρεία,"the state of a hired labourer, service"
λατρεύω,work for hire
λαύρα,"alley, lane, passage"
λαχαίνω,y
λαχανεύω,plant vegetables
λαχή,allotment
λαχνήεις,"woolly, hairy, shaggy"
λέαινα,lioness
λέβης,"kettle, cauldron"
λέξις,speech
λέγος,lewd
λέγω,lay
λέγω,pick up
λέγω,"to say, speak"
λέκιθος,gruel
λέκιθος,yolk of an egg
λέκτης,"speaker,"
λέκτρον,"couch, bed"
λέμβος,cock-boat
λέμμα,"that which is peeled off, rind, husk"
λέπαδνον,broad leather strap
λέπας,"bare rock, scaur"
λέπος,"rind, husk, scale"
λέπρα,"leprosy, which makes the skin scaly"
λέσχη,couch
λέων,lion
λέως,"entirely, wholly"
λέως,"entirely, wholly, at all"
λέχος,"couch, bed"
λέχρις,crosswise
λεάζω,to be smooth
λεαίνω,"smooth, polish"
λεηλασία,"plundering, robbery"
λεηλατέω,drive away booty
λεία,tool for smoothing stone
λεία,"booty, plunder"
λείβω,"pour, pour forth"
λείπω,"leave, quit"
λείριον,"Madonna lily, Lilium candidum"
λείριος,lily-like
λείωσις,trituration
λείχω,lick up
λείψανον,"piece left, remnant"
λεῖος,smooth
λειμών,"any moist, grassy place, meadow"
λειμώνιον,"Statice limonium, sealavender"
λειμώνιος,of a meadow
λειμωνιάς,meadow
λειότης,smoothness
λειόω,make smooth
λειτούργιον,subsidiary action springing out of a trial
λειτουργέω,serve public offices at one's own cost
λειτουργία,public service
λειτουργός,one who performed a
λειχήν,"tree-moss, lichen"
λεκάνη,"dish, pot, pan"
λεκιθοπώλης,peasepudding-seller
λεκτέος,to be said
λεκτός,"gathered, chosen, picked out"
λεληθότως,imperceptibly
λελίημαι,strive eagerly
λεοντέη,lion's skin
λεοντίς,lion-shaped ornament
λεοντιδεύς,lioncub
λεοντόπους,lion-footed
λεοντοειδής,lion-like
λεοντοφόνος,lion-killing
λεοντοτροφία,rearing
λεπάς,a limpet
λεπάς,limpet
λεπαστή,limpet-shaped drinking-cup
λεπίς,epithelial debris
λεπράς,rough
λεπράω,have
λεπρός,"scaly, scabby, rough"
λεπρώδης,rough
λεπταλέος,"fine, delicate"
λεπτόδομος,"slightly framed, slight"
λεπτόγειος,of a thin
λεπτόλογος,"speaking subtly, quibbling"
λεπτόν,"a very small coin, a mite"
λεπτός,"peeled, husked"
λεπτότης,thinness
λεπτολόγος,"speaking subtly, subtle, quibbling"
λεπτολογέω,"speak subtly, chop logic, quibble"
λεπτοψάμαθος,with fine sand
λεπτύνω,make thin
λεσχάζω,"prate, chatter"
λεσχηνεύω,chat
λεύκασπις,white-shielded
λεύκη,leprosy
λεύσιμος,stoning
λεύσσω,look
λεῦκος,a fish
λευγαλέος,in sad
λευκάς,"mountain deadnettle, Lamium maculatum"
λευκαίνω,make white
λευκανθίζω,to have white blossoms
λευκήρης,"white, blanched"
λευκόλινον,white flax
λευκόλοφος,white-crested
λευκόν,white
λευκόπους,"white-footed, bare-footed"
λευκόπτερος,white-winged
λευκόπωλος,with white horses
λευκόθριξ,"white-haired, white"
λευκός,"light, bright, brilliant"
λευκός,"light, bright, clear"
λευκότης,whiteness
λευκότροφος,white-growing
λευκόω,whiten over
λευκόχροος,of pale complexion
λευκόχρους,of white complexion
λευκοπληθής,full of persons in white
λευκοστεφής,white-wreathed
λευρός,"smooth, level, even"
λευσμός,stoning
λευστήρ,one who stones
λευχείμων,clad in white
λευχειμονέω,to be clad in white
λεωργός,one who will do anything
λεχαῖος,of
λεχώ,woman in childbed
λεχώιος,of
λήγω,"stay, abate"
λήιον,a crop
λήκυθος,oil-flask
λήμη,"a humour that gathers in the corner of the eye, rheum"
λήθαργος,forgetful
λήθη,"forgetting, forgetfulness"
λήρησις,"silly talk, trifling"
λῆξις,determination
λῆξις,cessation
λῆδος,a cheap common dress
λῆμα,"will, desire, purpose"
λῆμμα,anything received
λῆνος,wool
λῆρος,"trash, trumpery"
λῆρος,gold ornament
λῆψις,"taking hold, seizing, catching"
ληξιαρχικός,belonging to the
ληίς,"booty, spoil"
ληίζομαι,"to seize as booty, to carry off as prey"
ληῖτις,she who makes
ληιάς,"taken prisoner, captive"
ληιστήρ,a robber
ληιστός,"to be carried off as booty, to be won by force"
ληκέω,"crack, crackle"
ληκύθιον,small oilflask
λημάω,to be bleared
ληματίας,high-spirited
ληματιάω,to be high-spirited
ληνεών,the place of the
ληνός,anything shaped like a tub
ληπτέος,to be taken
ληρέω,to be foolish
ληρός,a poor trinket
λῃστάρχης,chief of robbers
λῃστεία,"robbery, piracy"
λῃστεύω,practise robbery
λῃστήρ,robber
λῃστήριον,band of robbers
λῃστής,"robber, pirate"
λῃστικός,piratical
λῃστρικός,piratical
λίαν,"very, exceedingly"
λίβος,a drop
λίβος,tears
λίφαιμος,lacking blood
λίγα,"in loud, clear tone"
λίκνον,winnowing-fan
λίμνη,pool of standing water
λίμνηθεν,from the lake
λίνεος,"of flax, linen"
λίνον,anything made of flax
λίνος,the Bands
λίπα,richly
λίπος,"animal fat, lard, tallow"
λίπτομαι,to be eager
λίθινος,made of stone
λίθος,stone
λίς,smooth
λίσσομαι,"beg, pray"
λίτρα,a silver coin
λίχνος,gluttonous
λίψ,the SW. wind
λίψ,stream
λιάζομαι,"bend, incline"
λιάζω,to be over-enthusiastic
λιαρός,"warm, lukewarm"
λιβάς,anything that drips
λιβάζω,let fall in drops
λιβανωτίς,rosemary frankincense
λιβανωτίς,Cultes Égyptiens
λιβανωτός,frankincense
λιφαιμέω,lack blood
λιγαίνω,"cry out with a loud, clear voice"
λιγνύς,"thick smoke mixed with flame, murky fire"
λιγνυόεις,"smoky, sooty"
λιγύφθογγος,clear-voiced
λιγύς,"clear, shrill"
λιγυρός,"clear, shrill"
λικμάω,"part the grain from the chaff, winnow"
λιλαίομαι,long
λιμαίνω,suffer from famine
λιμενήοχος,closing in the harbour
λιμήν,harbour
λιμνάζω,form stagnant pools
λιμναῖος,of
λιμός,Fr.anon.
λιμοθνής,dying of hunger
λιμώσσω,"to be famished, hungry"
λινόδετος,bound with flaxen cords
λινόπτερος,sail-winged
λινοφθόρος,linen-spoiling
λινοπτάομαι,watch nets to see whether anything is caught
λινορραφής,sewn of flax
λιπάω,"to be sleek, radiant"
λιπαίνω,"oil, anoint"
λιπαράμπυξ,with bright fillet
λιπαρέω,"persist, persevere, hold out"
λιπαρής,persisting
λιπαρόθρονος,bright-throned
λιπαρός,"oily, shiny with oil"
λιπόναυς,deserting the fleet
λιποστρατέω,"desert, refuse to serve in arms"
λιποτάξιον,desertion
λιποτριχής,having lost one's hair
λιποψυχέω,swoon
λιθάς,stone
λιθάζω,fling stones
λιθίδιον,"pebble, gem"
λιθόβολος,"throwing stones, pelting with stones"
λιθόξοος,stone
λιθόλογος,one who picks out stones for building
λιθόστρωτος,paved with stones
λιθόω,to be petrified
λιθοβόλος,"throwing stones, pelting with stones"
λιθοβολέω,"pelt with stones, stone"
λιθοξόος,a stone
λιθοκόλλητος,set with precious stones
λιθολόγος,one who builds with stones picked out
λιθολογέω,"build with unworked stones,"
λιθοτομία,"stone-quarry,"
λιθουργός,stone-mason
λιθώδης,"like stone, stony"
λισσάνιος,my good friend
λισσάς,"bare, smooth cliff"
λισσός,smooth
λιτανεύω,"pray, entreat"
λιτανός,"praying, suppliant"
λιτή,"prayer, entreaty"
λιτός,"simple, inexpensive, frugal"
λιτός,"suppliant, supplicatory"
λιχμάω,play with the tongue
λιχμάζω,lick
λιχνεία,"gluttony, luxuriousness in eating"
λιχνεύω,gormandize
λιψουρία,desire to make water
λόφη,crest
λόφιον,small crest
λόφος,back of the neck
λόφωσις,a being crested
λόγιον,oracle
λόγιος,of
λόγος,"computation, reckoning"
λόγχη,spear-head
λόγχη,lot
λόγχιμος,of a spear
λόχευμα,"that which is born, child"
λόχιος,of
λόχμη,"thicket, copse"
λόχος,an ambush
λόχος,ambush
λοβός,lobe of the ear
λοξός,"slanting, crosswise"
λοξόω,"make slanting, cast sideways"
λοφάω,have a crest
λοφεῖον,crestcase
λοφίας,having a back-fin
λοφιά,mane
λοφόομαι,"to be raised up, grow into a ridge"
λοφοποιός,crest-maker
λογάς,"picked, chosen"
λογάς,whites of the eyes
λογάω,to be fond of talking
λογεύς,speaker
λογία,a collection for the poor
λογίζομαι,"count, reckon"
λογικός,of
λογισμός,"counting, calculation"
λογιστήριον,the place
λογιστής,"calculator, teacher of arithmetic"
λογιστικός,skilled
λογόγραφος,prose-writer
λογόω,introduce
λογογράφος,a prose-writer
λογογραφέω,to be a
λογοποίημα,"idle tale, piece of gossip"
λογοποιέω,"write, compose"
λογοποιός,prose-writer
λογχοφόρος,spear-bearing
λοίδορος,"railing, abusive"
λοίγιος,"pestilent, deadly"
λοίσθιος,last.
λοῖσθος,"left behind, last"
λοῖσθος,beam
λοιβή,pouring.
λοιδορέω,"abuse, revile"
λοιδορία,"railing, abuse, reproach"
λοιγός,"ruin, havoc"
λοιμικός,pestilential
λοιμός,plague
λοιμώδης,pestilential
λοιπάς,"remainder,"
λοιπάζω,"leave,"
λοιπός,remaining over
λοπάδιον,"oyster,"
λοπάς,flat dish
λοπίς,pin
λορδός,bent backward
λορδόω,bend oneself supinely
λούτριον,water that has been used in washing
λούω,l[acaron]vo
λουέω,gruel made of wheat-meal
λουτρόν,"bath, bathing-place"
λουτρόομαι,bathe
λουτροδάικτος,slain in the bath
λουτρών,"bathing-room, bath-house"
λοχάω,"lie in wait for, waylay"
λοχαγέω,lead a
λοχαγός,leader of an armed band
λοχέος,an ambush
λοχεία,"child-birth, childbed"
λοχεῖος,of thanks for safe delivery
λοχεύω,"bring forth, bear"
λοχίτης,one of the same
λοχίζω,lie in wait for
λοχμάζω,to be downy
λοχμαῖος,of the coppice
λοχμώδης,"overgrown with bushes, bushy"
λύα,civil strife
λύγξ,"lynx, Felis lynx,"
λύγξ,hiccup
λύγη,twilight
λύγος,"agnus castus, Vitex Agnus-castus, withy"
λύη,"dissolution, separation"
λύκαινα,she-wolf
λύκιον,"dyer's buckthorn, Rhamnus petiolaris"
λύκος,wolf
λύμη,"outrage, maltreatment"
λύπη,pain of body
λύθρον,"defilement from blood, gore"
λύρα,lyre
λύσιμος,able to loose
λύσιος,"releasing, delivering"
λύσις,"loosing, releasing, ransoming"
λύσσα,"rage, fury"
λύτρον,price of release
λύω,luo
λύχνος,sno
λύζω,to have the hiccup
λῦμα,water used in washing
λυγαῖος,"shadowy, murky, gloomy"
λυγίζω,bend
λυγισμός,"a bending, twisting"
λυγόω,tie fast
λυγρός,"baneful, mournful"
λυκάβας,year
λυκέη,wolf's-skin
λυκιδεύς,wolf's cub
λυκόβρωτος,eaten by wolves
λυκόφως,twilight
λυκόστομος,wolf-mouth
λυκόω,tear like a wolf
λυκοδίωκτος,wolf-chased
λυκοκτόνος,wolf-slaying
λυκοσπάς,torn by wolves
λυμαίνομαι,cleanse from dirt
λυμαίνομαι,"outrage, maltreat"
λυμαντήριος,"injurious, destructive"
λυμεών,"destroyer, corrupter"
λυπέω,"grieve, vex"
λυπηρός,"painful, distressing"
λυπρός,"distressful, wretched, poor"
λυθρόω,redeem
λυροποιός,lyre-maker
λυρῳδία,song to be sung to the lyre
λυσανίας,ending sorrow
λυσανίης,ending sorrow
λυσιμελής,limb-relaxing
λυσιτελέω,indemnify for expenses incurred
λυσιτελής,paying for expenses incurred
λυσιτελούντως,"usefully, profitably"
λυσσάς,raging mad
λυσσάω,to be raging
λυσσητικός,driving mad
λυσσόω,"enrage, madden"
λυσσώδης,"like one raging, frantic"
λυτήρ,"one who looses, deliverer"
λυτήριος,"loosing, delivering"
λυτρόω,"release on receipt of a ransom, hold to ransom"
λυχνοφορέω,carry a lamp
λυχνοποιός,maker of lamps
λυχνοπώλης,dealer in lamps
λυχνοῦχος,lampstand
λώβη,"outrage, dishonour"
λώφησις,"abatement, cessation"
λώπη,"covering, robe, mantle"
λωβάομαι,"outrage, maltreat"
λωβήεις,outrageous
λωβητήρ,foul slanderer
λωβητής,one who disgraces
λωβητός,"despitefully treated, outraged"
λωφάω,"rest, give over"
λωφήιος,relieving
λωίων,"more desirable, more agreeable"
λωποδύτης,clothes-stealer
λωποδυτέω,steal clothes
λωτέω,play the flute
λωτίζομαι,cull the best
λωτόεις,overgrown with lotus
λωτός,"clover, trefoil, Trifolium fragiferum"
μά,by
μάγειρος,B
μάκαρ,"blessed, happy"
μάκελλα,"mattock, pick"
μάκρα,bath-tub
μάκροθεν,from afar
μάκρος,length
μάκρος,length
μάκρων,longhead
μάκτρα,kneading-trough
μάλα,"very, exceedingly"
μάλαγμα,emollient
μάλη,arm-pit
μάλθα,mixture of wax and pitch
μάμμη,mother
μάνδρα,enclosed space
μάνης,cup
μάννα,powder
μάντευμα,oracle
μάντις,"diviner, seer, prophet"
μάθημα,"that which is learnt, lesson"
μάθησις,"the act of learning, getting of knowledge"
μάθος,custom
μάραγνα,"lash, scourge"
μάραθον,"fennel, Foeniculum vulgare"
μάργαρος,pearl-oyster
μάργος,mad
μάρμαρον,marble
μάρμαρος,crystalline rock
μάρναμαι,"fight, do battle"
μάρπτις,"seizer, ravisher"
μάρπτω,take hold of
μάρτυρος,witness.
μάρτυς,witness
μάσθλης,leather
μάσσω,"knead, press into a mould"
μάσσων,longer
μάστειρα,demanding vengeance
μάστιξ,"whip, scourge"
μάταιος,"vain, empty, idle"
μάτη,"folly, fault"
μάτην,"in vain,"
μάτος,search
μάχαιρα,large knife
μάχη,"battle, combat"
μάχιμος,"fit for battle, warlike"
μάχλος,"lewd, lustful"
μάχομαι,fight
μάψ,"in vain, without result"
μᾶκος,"length, distance"
μᾶλον,apple
μᾶζα,barley-cake
μαδάω,to be moist
μαγειρεῖον,"butcher's shop, cook-shop"
μαγειρικός,fit for a cook
μαγεύω,to be a Magus
μαγγάνευμα,trickery
μαγγανεία,trickery
μαγγανεύω,use charms
μαίνομαι,"rage, be furious"
μαίομαι,"seek after, seek for"
μαῖα,good mother
μαιεύομαι,"serve as a midwife, act as one"
μαιμάω,"to be very eager, quiver with eagerness"
μαινάς,"raving, frantic"
μαινίς,a sprat
μαιόομαι,deliver
μακάριος,"blessed, happy"
μακαρία,"happiness, bliss"
μακαρίτης,one blessed
μακαρίζω,"bless, deem"
μακαριστός,deemed
μακιστήρ,long and tedious
μακκοάω,to be stupid
μακράν,far
μακραίων,lasting long
μακρηγορέω,"speak at great length, be long-winded"
μακρόβιος,long-lived
μακρόθεν,from afar
μακρός,long
μακροβίοτος,long
μακρολόγος,speaking at length
μακρολογέω,"speak at length, use many words"
μαλάκια,cephalopod mollusca
μαλάσσω,make soft
μαλάχη,"mallow, Malva silvestris"
μαλακία,softness
μαλακίων,darling
μαλακίζομαι,to be softened
μαλακιάω,become soft
μαλακός,soft
μαλακόστρακος,"soft-shelled, crustaceous"
μαλακότης,softness
μαλακογνώμων,mild of mood
μαλερός,"fierce, raging"
μαλκίω,become numb with cold
μαλλός,flock of wool
μαλός,white
μαλός,white-tailed
μαλθάσσω,"soften, soothe"
μαλθάζω,soften
μαλθακίζομαι,to be softened
μαλθακιστέον,one must be remiss
μαλθακιστέος,one must be remiss
μαλθακός,soft
μαμμᾶν,cry for food
μαμμία,mother
μανία,madness
μανιάς,"frantic, mad"
μανιάω,"to be mad, rave"
μανικός,of
μανιώδης,like madness
μανός,loose
μανότης,"looseness of texture, porousness"
μανόω,"make porous, loose"
μανθάνω,learn
μαντεία,"prophetic power, power of divination, h. Merc."
μαντεῖον,oracle
μαντεῖος,"oracular, prophetic"
μαντεύομαι,"divine, prophesy"
μαντικός,"prophetic, oracular"
μαντιπολέω,prophesy
μαντόσυνος,oracular
μαντοσύνη,the art of divination
μαθητής,"learner, pupil"
μαθητιάω,"wish to become a disciple, wish to learn"
μαθητός,"learnt, that may be learnt"
μαραίνω,quench
μαρασμός,withering
μαργάω,raging
μαργαρίτης,pearl
μαργόομαι,be intemperate
μαργοσύνη,gluttony
μαρίλη,"embers of charcoal, coal-dust"
μαρμάρεος,"flashing, gleaming"
μαρμαίρω,"flash, sparkle, gleam"
μαρμαρύσσω,"flash, sparkle"
μαρμαρυγή,"flashing, sparkling, gleaming"
μαρτιχόρας,man-eater
μαρτύρησις,corroborative evidence
μαρτύριον,"testimony, proof"
μαρτύρομαι,"call to witness, invoke"
μαρτυρέω,"bear witness, give evidence"
μαρτυρία,testimony
μασάομαι,chew
μαστάζω,"chew, eat"
μασταρύζω,mumble
μαστεύω,"seek, search after"
μαστήρ,"seeker, searcher"
μαστήριος,good at search
μαστίγωσις,"whipping, flogging"
μαστίκτωρ,scourger
μαστίζω,"whip, flog"
μαστιγίας,"one that wants whipping, a rogue"
μαστιγίης,"one that always wants whipping, a worthless slave, a sorry knave"
μαστιγιάω,long for
μαστιγόω,"whip, flog"
μαστιγωτέος,must be whipped
μαστός,"b,"
μαστροπεύω,seduce
μαστροπός,pimp
μασχάλη,arm-pit
μασχαλίζω,put under the arm-pits
μασχαλιστήρ,girth passing round the horse behind his shoulders
ματάω,"to be idle, dally"
ματᾴζω,speak
ματαιόω,bring to naught
ματεύω,"seek, search"
ματία,"vain attempt, bootless enterprise"
ματιολοιχός,"trifle, scrap"
μαυρόω,"darken, blind"
μαχάω,wish to fight
μαχαίριον,surgeon's
μαχαιρίς,cleaver
μαχαιροφόρος,wearing a sabre
μαχαιροποιός,maker of cutlery
μαχητής,"fighter, warrior"
μαχητικός,fit for fighting
μαχητός,to be fought with
μαχλοσύνη,"lewdness, lust"
μαζίσκη,barley-scone
μέδιμνος,a medimnus
μέδω,"protect, rule over"
μέγαρον,"large room, hall"
μέγας,big
μέγεθος,"greatness, magnitude"
μέλαθρον,"roof-tree, ridgepole"
μέλας,"black, dark"
μέλε,my friend
μέλεος,"idle, useless"
μέλημα,"object of care, beloved object, darling"
μέλι,honey
μέλινος,ashen
μέλισσα,madhu-lih-
μέλλημα,delay
μέλλησις,"being about to do, threatening to do"
μέλλω,to be destined
μέλος,limb
μέλπω,celebrate with song and dance
μέλπω,sing before
μέλω,to be an object of care
μέμαα,"to wish eagerly, strive, yearn, desire"
μέμβραξ,cicada
μέμφομαι,"blame, censure"
μέμονα,mṇ
μέμψις,"blame, censure"
μέν,"indeed, of a truth"
μένος,"might, force"
μέντοι,"indeed, to be  sure, however;"
μένω,"stay, wait"
μέθεξις,participation
μέθη,strong drink
μέθημαι,sit among
μέθυ,wine
μέθυσος,drunk with wine
μέριμνα,"care, thought, solicitude"
μέρμνος,hawk
μέρος,"share, portion"
μέροψ,dividing the voice
μέσακτος,"half-way between two shores, in mid-sea"
μέσαυλος,"the inner court, inside the"
μέσφα,until
μέση,mese
μέσης,a wind between
μέσος,b
μέσπιλον,medlar
μέσσοθι,in the middle
μέταλλον,"mine, quarry"
μέταρσις,transplantation
μέτειμι,"sum), to be among"
μέτειμι,ibo
μέτοικος,"settler from abroad, alien resident in a foreign city, denizen"
μέτοχος,"sharing in, partaking of"
μέτριος,"within measure, moderate"
μέτρον,that by which anything is measured
μέτωπον,the space between the eyes
μέχρι,as far as
μεδέων,"guardian, ruler"
μεγάλαυχος,"boastful, vainglorious"
μεγάθυμος,great-hearted
μεγαίρω,regard as too great
μεγακήτης,"yawning, with mighty hollows"
μεγαλαυχέω,"boast, brag"
μεγαλαυχία,"boasting, arrogance"
μεγαλήγορος,"talking big, vaunting"
μεγαλήτωρ,greathearted
μεγαληγορέω,"talk big, boast"
μεγαληγορία,big talking
μεγαλόδωρος,munificent
μεγαλόφρων,"high-minded, generous"
μεγαλόμητις,"of high design, ambitious"
μεγαλόνοια,magnanimity
μεγαλόπετρος,on the mighty rock
μεγαλόστονος,most piteous
μεγαλότολμος,greatly adventurous
μεγαλόψυχος,"high-souled, generous"
μεγαλοεργία,great achievement
μεγαλοφρονέω,to be high-minded
μεγαλοφροσύνη,greatness of mind
μεγαλοπράγμων,"disposed to do great deeds, forming great designs"
μεγαλοπραγία,great fortune
μεγαλοπρέπεια,magnificence
μεγαλοπρεπής,"befitting a great man, magnificent"
μεγαλοσχήμων,magnificent
μεγαλοψυχέω,to be generous
μεγαλοψυχία,"greatness of soul, highmindedness, lordliness"
μεγαλύνω,make great
μεγαλώνυμος,"with a great name, giving glory"
μεγαλωστί,"far and wide, over a vast space"
μεγασθενής,b
μεγαυχής,boasting
μεγιστεύω,to be
μεγιστότιμος,most honoured
μείλια,soothing things
μείλιγμα,anything that serves to soothe
μείλιχος,"gentle, kind"
μείρομαι,receive as one's portion
μείς,Ars Prooem.
μείων,"lesser, less"
μεῖον,less.
μεῖον,lamb
μεῖραξ,"young girl, lass"
μειαγωγέω,bring the sacrificial lamb to the scale
μειδάω,smile
μειδίαμα,"smile, smiling"
μειλίσσω,"make mild, soothe, treat kindly"
μειλίχη,boxing-glove which left the fingers bare
